empId,repType,fromTime,tillTime,firstName,lastName,gender,birthDate,deptName,positionName,managerFirstName,managerLastName,salary,date,hours,wrkHours,vacHours,sckHours,days,wrkDays,vacDays,sckDays,wrkDaysManagement,wrkDaysSenat,wrkDaysHealth
1,1,2020-01-01 08:00:00,2020-01-01 17:00:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-01,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,3,2020-01-02 09:00:00,2020-01-02 18:00:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-02,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,2020-01-03 08:30:00,2020-01-03 17:30:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-03,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2020-01-04 08:30:00,2020-01-04 17:30:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-04,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,1,2020-01-05 08:30:00,2020-01-05 13:00:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-05,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
1,1,2020-01-05 13:00:00,2020-01-05 17:30:00,Donald,Trump,M,03/01/1949,Management,General Manager,,,100000,2020-01-05,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
2,2,2020-01-01 08:30:00,2020-01-01 17:30:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-01,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1,2020-01-02 08:00:00,2020-01-02 17:00:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-02,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2,1,2020-01-03 09:00:00,2020-01-03 18:00:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-03,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2,3,2020-01-04 09:00:00,2020-01-04 18:00:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-04,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1,2020-01-05 08:30:00,2020-01-05 13:00:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-05,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
2,3,2020-01-05 13:00:00,2020-01-05 17:30:00,Steven,Mnuchin,M,01/12/1957,Management,Account Manager,Donald,Trump,80000,2020-01-05,4.5,0.0,0.0,4.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
3,2,2020-01-01 10:00:00,2020-01-01 19:00:00,Mike,Pense,M,02/04/1956,Management,Account Manager,Donald,Trump,75000,2020-01-01,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1,2020-01-02 08:00:00,2020-01-02 17:00:00,Mike,Pense,M,02/04/1956,Management,Account Manager,Donald,Trump,75000,2020-01-02,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,1,2020-01-03 08:00:00,2020-01-03 17:00:00,Mike,Pense,M,02/04/1956,Management,Account Manager,Donald,Trump,75000,2020-01-03,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,3,2020-01-04 09:00:00,2020-01-04 18:00:00,Mike,Pense,M,02/04/1956,Management,Account Manager,Donald,Trump,75000,2020-01-04,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1,2020-01-05 09:00:00,2020-01-05 18:00:00,Mike,Pense,M,02/04/1956,Management,Account Manager,Donald,Trump,75000,2020-01-05,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,1,2020-01-01 08:00:00,2020-01-01 17:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-01,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,2020-01-02 08:00:00,2020-01-02 17:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-02,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,2020-01-03 08:00:00,2020-01-03 17:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-03,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,2,2020-01-04 09:00:00,2020-01-04 18:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-04,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,2020-01-05 09:00:00,2020-01-05 13:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-05,4.0,4.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.0
4,3,2020-01-05 13:00:00,2020-01-05 18:00:00,Gavin,Newsom,M,04/02/1955,Senat,Project Manager,Mike,Pense,84000,2020-01-05,5.0,0.0,0.0,5.0,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
5,3,2020-01-01 08:30:00,2020-01-01 17:30:00,Arnold,Schwarzenegger,M,05/04/1945,Senat,Team Leader,Gavin,Newsom,85000,2020-01-01,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1,2020-01-02 08:00:00,2020-01-02 17:00:00,Arnold,Schwarzenegger,M,05/04/1945,Senat,Team Leader,Gavin,Newsom,85000,2020-01-02,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1,2020-01-03 08:00:00,2020-01-03 17:00:00,Arnold,Schwarzenegger,M,05/04/1945,Senat,Team Leader,Gavin,Newsom,85000,2020-01-03,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1,2020-01-04 09:00:00,2020-01-04 18:00:00,Arnold,Schwarzenegger,M,05/04/1945,Senat,Team Leader,Gavin,Newsom,85000,2020-01-04,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1,2020-01-05 09:00:00,2020-01-05 18:00:00,Arnold,Schwarzenegger,M,05/04/1945,Senat,Team Leader,Gavin,Newsom,85000,2020-01-05,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1,2020-01-01 10:00:00,2020-01-01 19:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-01,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1,2020-01-02 08:00:00,2020-01-02 17:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-02,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1,2020-01-03 08:00:00,2020-01-03 17:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-03,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1,2020-01-04 09:00:00,2020-01-04 18:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-04,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,2,2020-01-05 09:00:00,2020-01-05 13:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-05,4.0,0.0,4.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
6,3,2020-01-05 13:00:00,2020-01-05 18:00:00,Ronald,Reagan,M,25/04/1921,Senat,Team Leader,Gavin,Newsom,74000,2020-01-05,5.0,0.0,0.0,5.0,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
7,1,2020-01-01 08:00:00,2020-01-01 17:00:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-01,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,3,2020-01-02 09:00:00,2020-01-02 18:00:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-02,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,2,2020-01-03 08:30:00,2020-01-03 17:30:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-03,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1,2020-01-04 08:30:00,2020-01-04 17:30:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-04,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,1,2020-01-05 08:30:00,2020-01-05 13:00:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-05,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
7,1,2020-01-05 13:00:00,2020-01-01 17:30:00,Bill,De Blasio,M,07/07/1959,Senat,Project Manager,Mike,Pense,58000,2020-01-05,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
